stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4683,0113,Скриня (0113),вул. Городоцька (навпроти № 175),49.835592,23.994693
4684,0529,Кульпарківська (0529),вул. Кульпарківська 3,49.834201,23.990943
4685,0485,Боткіна (0485),вул. Володимира Великого 111,49.811148,23.991673
4686,0486,Океан (0486),"вул. Володимира Великого (вул. Кн.Ольги, 106)",49.810497,23.998132
4687,0483,В. Великого (0483),вул. Володимира Великого 35,49.809967,24.004574
4688,0480,Янева (0480),вул. Володимира Великого 21,49.808856,24.012052
4689,0559,Автобусний завод (0559),вул. Стрийська 104,49.807627,24.019037
4690,0565,Стрийська-Наукова (0565),вул. Стрийська  (перехрестя Стрийська-Наукова),49.801302,24.017626
4691,0430,Скорини (0430),"вул. Стрийська, 57",49.798002,24.017245
4692,,"Винники, Забава (1001-01)","Винники, вул. Забава, 98",49.808856,24.119786
4693,0431,Гашека (0431),вул. Стрийська 61,49.794712,24.016521
4694,0436,Стрийська-Наукова (0436),,49.802604,24.018361
4695,0508,Боднарівка (0508),"вул. І. Рубчака, 2",49.805491,24.017760
4696,0568,Тролейбусне депо (0568),вул. Тролейбусна 1,49.807404,24.007479
4697,0479,Коледж телекомунікацій (0479),"вул. Володимира Великого, 12",49.809964,24.007037
4698,0481,В. Великого (0481),"вул. Володимира Великого, 22",49.810435,24.001200
4699,0482,Океан (0482),"вул. Володимира Великого, 22",49.810860,23.996748
4700,0484,Боткіна (0484),"вул. Володимира Великого, 50",49.811484,23.990289
4701,0530,Кардіологічний центр (0530),вул. Кульпарківська 35,49.830799,23.990707
4702,0535,Кульпарківська (0535),вул. Любінська 4,49.834052,23.990766
4703,0494,Скриня (0494),вул. Городоцька 175,49.835322,23.994924
4704,0082,Магнус (0082),"вул. Шпитальна (вул. Городоцька, 4)",49.844436,24.024321
4705,0582,Промислова (0582),вул. Б. Хмельницького 106,49.853635,24.041626
4706,0583,Ф-ка повидла (0583),вул. Б. Хмельницького 122,49.855790,24.045500
4707,0585,Височана (0585),вул. Б. Хмельницького 158,49.858138,24.047484
4708,0587,Радіоринок (0587),вул. Б. Хмельницького 176,49.862278,24.051025
4709,0084,Богданівка (0084),вул. Нова ?,49.876865,24.066324
4711,0320,ТРЦ Кінг Кросс (0320),"вул. Стрийська, 30",49.774093,24.012718
4712,0434,Іподром (0434),вул. Стрийська 179,49.778056,24.014171
4713,0435,Сокільницька (0435),вул. Стрийська 197,49.784129,24.014434
4714,0433,Автовокзал (0433),вул. Стрийська 109,49.787426,24.017677
4715,0432,Максимовича (0432),вул. Стрийська 71,49.792614,24.015985
4716,0131,Скнилівок (0131),"вул. І. Виговського, 89",49.812342,23.982114
4717,0130,Південний (0130),"вул. Виговського, 69",49.813671,23.976856
4718,0129,Кульчицької (0129),"вул. Виговського, 47",49.816700,23.972474
4719,0128,Любінська-Виговського (0128),"вул. Виговського, 41",49.819621,23.969861
4721,0125,Поліклініка № 5 (0125),,49.826270,23.968011
4722,0100,Мотозавод (0100),вул. Городоцька 249,49.830754,23.969164
4723,0114,Богданівка (0114),вул. Городоцька 223,49.832488,23.979174
4724,0497,Народна (0497),вул. Городоцька 207,49.833429,23.984560
4725,0496,Кульпарківська (0496),вул. Городоцька 189,49.834460,23.990058
4726,0189,Приміський вокзал (0189),вул. Чернівецька 4,49.837720,24.000138
4727,,Залізничний вокзал (висадка) 0083,"вул. Чернівецька, 1",49.839067,23.994519
4728,0191,Залізничний вокзал (0191),вул. Чернівецька 11,49.838844,23.995723
4729,0190,Приміський вокзал (0190),вул. Чернівецька 9,49.837571,23.999881
4730,0096,Народна (0096),вул. Городоцька 134,49.833772,23.985236
4731,0498,Богданівка (0498),вул. Городоцька (навпроти № 225),49.832547,23.978514
4732,0124,Мотозавод (0124),вул. І. Виговського 4,49.830066,23.968123
4733,0127,Поліклініка № 5 (0127),вул. І. Виговського 32,49.825854,23.967635
4734,0133,Любінська-Виговського (0133),"вул. І. Виговського (вул. Чуваська, 12)",49.820016,23.969389
4735,0134,Кульчицької (0134),вул. І. Виговського (навпроти № 45А),49.817378,23.971503
4736,0135,Скнилівок (0135),вул. І. Виговського (навпроти № 89),49.812128,23.982142
4737,0561,Гашека (0561),вул. Стрийська 244,49.794106,24.016076
4738,0562,Максимовича (0562),вул. Стрийська 264,49.791440,24.015448
4739,0563,Автовокзал (0563),вул. Стрийська 302,49.787582,24.014606
4740,0564,Сокільницька (0564),вул. Стрийська 338,49.783290,24.013817
4741,,ТРЦ Кінг Кросс (0320-01),"вул. Стрийська, 30",49.774232,24.013335
4742,0179,Сяйво (0179),"вул. Сяйво, 10",49.837581,23.977286
4743,0145,Широка (0145),,49.843030,23.980402
4744,0143,Ливарна (0143),,49.844590,23.984318
4745,0140,Естонська (0140),,49.846839,23.990404
4746,0139,Левандівська (0139),,49.848433,23.994462
4749,0761,Винниця (0761),"вул. Винниця, 60",49.861863,23.991930
4750,0687,Брюховицька (0687),вул. Т. Шевченка 230,49.859926,23.970913
4751,0689,Шевченка (0689),вул. Т. Шевченка 264,49.861706,23.966519
4752,0691,Біберовича (0691),вул. Т. Шевченка 292,49.862938,23.963537
4753,0692,Порічкова (0692),вул. Т. Шевченка 318,49.864446,23.960018
4754,0701,Лушпинського (0701),вул. Т. Шевченка (перехрестя з вул. О. Лушпинського),49.866392,23.956699
4755,0694,Рясне 1 (0694),вул. Т. Шевченка 358,49.868094,23.952604
4756,0695,Стельмаха (0695),вул. Т. Шевченка 384,49.870455,23.946247
4757,0698,Сотника (0698),вул. Т. Шевченка (навпроти № 321),49.872679,23.933201
4758,0657,Величковського (0657),вул. І. Величковського (навпроти № 40),49.875137,23.932444
4759,0655,Рясне 2 (0655),"Рясне-2, вул. І. Величковського 2",49.874967,23.937922
4760,0656,Величковського (0656),вул. І. Величковського 42,49.875299,23.932450
4761,0693,Сотника (0693),вул. Т. Шевченка 321,49.872347,23.933791
4762,0700,Стельмаха (0700),вул. Т. Шевченка (навпроти № 384),49.870438,23.945507
4763,0699,Рясне 1 (0699),вул. Т. Шевченка (навпроти № 358А),49.868350,23.950866
4764,0702,Лушпинського (0702),вул. Т. Шевченка (перехрестя з вул. Професора Ковалика),49.866431,23.956370
4765,0690,Порічкова (0690),вул. Т. Шевченка 277,49.864277,23.960077
4766,0688,Біберовича (0688),вул. Т. Шевченка 241,49.862935,23.963193
4767,0686,Шевченка (0686),вул. Т. Шевченка 209,49.861234,23.967394
4768,0685,Брюховицька (0685),вул. Т. Шевченка 171,49.859833,23.970693
4769,0186,Татарбунарська (0186),вул. Т. Шевченка (навпроти № 154Б),49.853766,23.985300
4770,0184,Крупзавод (0184),вул. Т. Шевченка 113,49.850967,23.991813
4771,0142,Левандівська (0142),вул. Левандівська 10,49.848406,23.993974
4772,0144,Ливарна (0144),вул. Левандівська 18,49.844490,23.983653
4773,0181,Широка (0181),вул. Сяйво 91,49.842048,23.979008
4774,0180,Сяйво (0180),вул. Сяйво 23,49.836799,23.976749
4775,0629,Татарбунарська (0629),"вул. Винниця (вул. Т. Шевченка, 154)",49.854037,23.986405
4776,0597,Шевченківська РА (0597),вул. В. Липинського 12,49.857499,24.023241
4777,0598,Замарстинівська (0598),вул. В. Липинського 26,49.860566,24.027658
4778,0603,Бетховена (0603),вул. В. Липинського (навпроти № 36),49.863440,24.032636
4779,0600,БТІ (0600),вул. В. Липинського 54,49.864844,24.042023
4780,0601,Автостанція №2 (0601),вул. В. Липинського 60,49.865131,24.050676
4781,0659,Лікарня швидкої допомоги (0659),вул. І. Миколайчука 12,49.875047,24.041390
4782,0619,Щурата (0619),вул. В. Щурата 12,49.879824,24.038129
4783,0662,Щурата (0662),вул. І. Миколайчука (навпроти № 28),49.878784,24.036520
4784,0658,Лікарня швидкої допомоги (0658),вул. І. Миколайчука  11,49.874907,24.041259
4785,0605,Автостанція №2 (0605),вул. В. Липинського (навпроти № 60),49.864889,24.051685
4786,0607,Миколайчука (0607),вул. В. Липинського (перехрестя з вул. І. Миколайчука),49.865276,24.043611
4787,0604,БТІ (0604),вул. В. Липинського (навпроти № 54),49.864930,24.040693
4788,0599,Бетховена (0599),вул. В. Липинського 44,49.863557,24.033548
4789,0602,Замарстинівська (0602),"вул. В. Липинського (вул. Покутська, 1)",49.859791,24.026204
4790,0596,Окуневського (0596),вул. В. Липинського 5,49.856216,24.019434
4792,0622,Струмок (0622),вул. Варшавська 44,49.857863,24.011624
4793,0627,Панча (0627),"вул. Варшавська (вул. П. Панча, 26)",49.862171,24.007643
4794,0696,Татарбунарська (0696),"вул. Т.  Шевченка, 154-Б",49.854006,23.985048
4795,0177,Суботівська (0177),вул. Суботівська 13,49.847375,23.965731
4796,0176,Поліклініка №3 (0176),вул. Суботівська 2,49.844531,23.966610
4797,0194,Гніздовського (0194),вул. Широка 79,49.841819,23.968499
4798,0195,Низинна (0195),"вул. Широка (вул. Доробок, 36А)",49.842079,23.973525
4799,0429,Автобусний завод (0429),вул. Стрийська 45,49.808524,24.019257
4800,0403,Податкова (0403),вул. І. Чмоли 1,49.814562,24.021947
4801,0419,Католицький університет (0419),вул. П. Мирного 4,49.816562,24.026917
4802,0420,Кибальчича (0420),вул. П. Мирного 26,49.813789,24.035817
4804,0412,Львівхолод (0412),вул. Луганська 3,49.807534,24.054037
4805,0376,ДБК (0376),вул. Зелена 238,49.804937,24.062709
4806,0379,Зубрівська (0379),вул. Зелена 266,49.801506,24.065895
4807,0380,Сихівська (0380),вул. Зелена 278,49.797039,24.071817
4808,0397,Кавалерідзе (0397),вул. І. Кавалерідзе 2,49.793694,24.064409
4809,0400,Кос-Анатольського (0400),вул. І. Кавалерідзе 16,49.790688,24.067896
4810,0410,Коломийська - Трильовського (0410),вул. Коломийська 9,49.787672,24.065938
4811,0409,Коломийська (0409),вул. Коломийська 7,49.788039,24.061051
4813,0399,Кос-Анатольського (0399),вул. І. Кавалерідзе 15,49.791274,24.067440
4814,0398,Антоненка-Давидовича (0398),вул. І. Кавалерідзе 9,49.792711,24.065568
4815,0394,Сихівська (0394),вул. Зелена (навпроти буд. 309),49.797178,24.071935
4816,0423,Кавалерідзе (0423),вул. Сихівська 5,49.794646,24.065167
4817,0378,Зубрівська (0378),вул. Зелена 261,49.802292,24.065428
4818,0413,Львівхолод (0413),вул. Луганська 6,49.807762,24.053428
4822,0421,вул. Кибальчича (0421),вул. П. Мирного 37,49.814004,24.035597
4823,0408,Католицький університет (0408),вул. Козельницька 4,49.816292,24.025732
4824,0404,Податкова (0404),вул. І. Чмоли 2,49.814627,24.023098
4825,0478,Автобусний завод (0478),вул. Володимира Великого 2,49.808316,24.016982
4826,0196,Широка (0196),"вул. Широка (вул. Сяйво, 99)",49.842826,23.978788
4827,0192,Низинна (0192),вул. Широка 44,49.842179,23.971680
4828,0175,Гніздовського (0175),вул. Суботівська 2,49.842376,23.967667
4829,0178,Поліклініка №3 (0178),"вул. Суботівська (вул. Повітряна, 88)",49.845631,23.966734
4830,0426,Кавалерідзе (0426),вул. Сихівська 20,49.794425,24.062907
4831,0122,Залізнична РА (0122),вул. Є. Патона 2/2,49.822771,23.965173
4832,0119,Патона (0119),вул. Є. Патона 2,49.823210,23.960581
4833,0167,ЛОРТА (0167),вул. Ряшівська 7,49.824294,23.956085
4834,0166,Ряшівська (0166),вул. Ряшівська 1,49.826837,23.955018
4835,0115,Каховська (0115),"вул. Городоцька, 236",49.826792,23.946478
4836,0102,Станційна (0102),"вул. Городоцька, 282",49.823482,23.928912
4841,0116,Каховська (0116),,49.827055,23.948951
4842,0169,Ряшівська (0169),"вул. Ряшівська (Городоцька, 309)",49.826958,23.954455
4843,0168,ЛОРТА (0168),"вул. Ряшівська (вул. Є. Патона, 6)",49.824002,23.955729
4844,0121,Патона (0121),вул. Є. Патона 31,49.823007,23.961446
